movie_id,片名,年份,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,海报URL,豆瓣评分,剧情简介
35215390,狙击手,2022,张艺谋 / 张末,陈宇 / 张艺谋,陈永胜 / 章宇 / 张译 / 刘奕铁 / 黄炎 / 王梓屹 / 陈铭杨 / 王乃训 / 程泓鑫 / 赵琥成 / 李汶聪 / 林博洋 / 王佑名 / 代文博 / 李鲲 / 曹操 / 柯国庆 / 钱焜 / 暗真 / 柯南·何裴 / 李凯文 / 勃小龙 / 孟丹青 / 叶风光,剧情 / 历史 / 战争,中国大陆,汉语普通话 / 英语,2022-02-01(中国大陆),96分钟,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2738601191.webp,7.7,1952年冬至1953年初，抗美援朝战争进入僵持阶段。交战双方开始了低密度的狙击战，这就是历史上著名的“冷枪冷炮运动”。志愿军一方，班长刘文武（章宇 饰）带领的狙击五班本领过硬，枪法绝神，战功赫赫的同时，也成为了美军忌惮憎恶的红色杀神。为了打击狙击五班的“嚣张气焰”，美军司令部调来了约翰（曹操 Jonathan Kos-Read 饰）率领的狙击小队试图捉住章宇。而自视甚高的约翰仰仗着高超的枪击和先进的武器装备，设计了一个极其大胆的诱捕计划。他将负伤的侦察兵亮亮（刘奕铁 饰）作为诱饵，吸引狙击五班来到了他精心布置的陷阱中央。                                                                      　　寒冷肃杀的战场上，一场静默的较量即将展开……
35505100,这个杀手不太冷静,2022,邢文雄,邢文雄,马丽 / 魏翔 / 陈明昊 / 周大勇 / 黄才伦 / 艾伦 / 高海宝 / 韩德笑 / 孙贵权 / 许猛 / 全容杓 / 卜俊男 / 张志忠 / 张建新 / 马驰 / 陶亮 / 詹卢卡·佐帕,喜剧,中国大陆,汉语普通话,2022-02-01(中国大陆),109分钟,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2814949620.webp,6.1,魏成功（魏翔 饰）非常热爱表演，然而其貌不扬的他往往只能够在电影里觅得一个跑龙套的角色，可即便如此，魏成功还是无比认真的对待着自己的每一个甚至连名字都没有的角色，这股子劲头引起了当红女明星米兰（马丽 饰）的注意。                                                                      　　米兰的弟弟米勒（黄才伦 饰）是一名电影导演，黑帮大佬哈维（陈明昊 饰）给他的电影投资了不菲的资金，哪知道亏得底裤都不剩，哈维一直爱慕着米兰，想要娶她为妻，可是米兰誓死不从。这一天，当哈维决定和姐弟两算总账之际，米兰告诉哈维自己认识他一直想要寻找的杀手卡尔（艾伦 饰）。哈维给了米兰一天的时间，让他把卡尔带到自己面前，实际上并不认识卡尔的米兰决定让魏成功来扮演这位冷酷的杀手。
35613853,长津湖之水门桥,2022,徐克,兰晓龙 / 黄建新,吴京 / 易烊千玺 / 朱亚文 / 李晨 / 韩东君 / 张涵予 / 耿乐 / 杜淳 / 段奕宏 / 胡军 / 王丽坤 / 杨一威 / 李卓扬 / 何跃飞 / 唐志强 / 刘治威 / 庄小龙 / 辛玉波 / 张跃 / 许明虎 / 王宁 / 王振威 / 陈泽轩 / 李小锋 / 詹姆斯·菲尔伯德 / 约翰·克鲁兹,剧情 / 历史 / 战争,中国大陆 / 中国香港,汉语普通话,2022-02-01(中国大陆),149分钟,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2846021991.webp,7.2,电影以抗美援朝战争第二次战役中的长津湖战役为背景，讲述了在结束了新兴里和下碣隅里的战斗之后，七连战士们又接到了更艰巨的任务……
35513968,交换人生,2023,苏伦,苏伦,雷佳音 / 张小斐 / 张宥浩 / 沙溢 / 刘敏涛 / 余皑磊 / 丁嘉丽 / 吴彦姝 / 杨恩又 / 曹桐睿 / 岳云鹏 / 杨迪 / 徐志胜 / 宋家腾 / 赖晓生 / 裴魁山 / 蒋赟 / 维维 / 傅首尔 / 王莎莎,喜剧 / 家庭 / 奇幻,中国大陆,汉语普通话,2023-01-22(中国大陆),110分钟,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2886396440.webp,5.0,如果交换人生会交换家人，你还愿意吗？仲达（雷佳音 饰）与金好（张小斐 饰）相亲后，意外和暗恋金好的少年陆小谷（张宥浩 饰）换身，并误打误撞交换了家人，开启了令人捧腹有笑有泪的奇“换”之旅……
35372742,无名,2023,程耳,程耳,梁朝伟 / 王一博 / 周迅 / 黄磊 / 森博之 / 大鹏 / 王传君 / 江疏影 / 张婧仪 / 周生昊 / 董易 / 古川岳史 / 彭广 / 赵左 / 高曙光 / 美浓轮泰史 / 金子浩拓 / 三浦研一 / 吴映 / 李欣 / 徐婧荧,剧情 / 悬疑 / 历史,中国大陆,汉语普通话 / 沪语 / 粤语 / 日语,2023-01-22(中国大陆) / 2025-08-02(中国大陆重映),128分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2923651715.webp,6.6,20世纪40年代，上海正处于孤岛时期。各方势力犬牙交错，他们有姓无名，从不同的立场影响着历史走向。设在租界的76号特务机关，是听命于汪伪政府并服务日本帝国主义的邪恶机构。76号的主任何先生（梁朝伟 饰）巧舌如簧，粉饰太平，周游于日本特务机关长渡部（森博之 饰）和投机分子唐部长（大鹏 饰）中间，而他的微笑背后似乎别有深意。特务人员王先生（王传君 饰）和叶先生（王一博 饰）是一对听命于政治强权的好友，几具日本人的尸体，让他们的命运开始转向。承受不住革命的重压和死亡的威胁，原地下党成员张先生（黄磊 饰）突然叛变，他的变节使诡局走向激化。                                                                      　　命运多舛，弃生向死，向死而生！
35267208,流浪地球2,2023,郭帆,杨治学 / 龚格尔 / 郭帆 / 叶濡畅,吴京 / 刘德华 / 李雪健 / 沙溢 / 宁理 / 王智 / 朱颜曼滋 / 安地 / 王若熹 / 佟丽娅 / 伟大力 / 张衣 / 天使 / 克拉拉 / 叶展飞 / 倪腾 / 胡先煦 / 霍青 / 刘寅 / 国义骞 / 吴恩璇 / 王红卫 / 孔大山 / 徐建 / 刘佳沄 / 丁燕来 / 郜昂 / 严华 / 李仁 / 洪真 / 王磊 / 王一通 / 杨洪涛 / 赵叶索 / 李路琦 / 黄纪渊 / 郑楚一 / 吴静一 / 付嘉灏 / 瓦伦廷·沃罗布耶夫 / 李一冉 / 周强 / 朱超艺 / 何金和龙 / 何金和金 / 张涛 / 向进 / 李沛东,科幻 / 冒险 / 灾难,中国大陆,汉语普通话 / 俄语 / 英语 / 印地语 / 法语 / 葡萄牙语 / 日语 / 韩语 / 泰语 / 南非荷兰语,2023-01-22(中国大陆) / 2024-09-15(中国大陆重映),173分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2916835424.webp,8.3,在并不遥远的未来，太阳急速衰老与膨胀，再过几百年整个太阳系将被它吞噬毁灭。为了应对这场史无前例的危机，地球各国放下芥蒂，成立联合政府，试图寻找人类存续的出路。通过摸索与考量，最终推着地球逃出太阳系的“移山计划”获得压倒性胜利。人们着手建造上万台巨大的行星发动机，带着地球踏上漫漫征程。满腔赤诚的刘培强（吴京 饰）和韩朵朵（王智 饰）历经层层考验成为航天员大队的一员，并由此相知相恋。但是漫漫征途的前方，仿佛有一股神秘的力量不断破坏者人类的自救计划。看似渺小的刘培强、量子科学家图恒宇（刘德华 饰）、联合政府中国代表周喆直（李雪健 饰）以及无数平凡的地球人，构成了这项伟大计划的重要一环……                                                                      　　本片根据刘慈欣同名科幻小说改编。
26649682,深海,2023,田晓鹏,田晓鹏 / 田博,苏鑫 / 王亭文 / 滕奎兴 / 杨婷 / 吉静 / 郭浩然 / 田晓鹏 / 董一 / 方韬辰,动画 / 奇幻,中国大陆,汉语普通话,2023-01-22(中国大陆),112分钟,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2885941329.webp,7.2,父母离异，家庭重组，亲情缺失。小女孩参宿（王亭文 配音）怯怯懦懦，脸上鲜有笑容。父亲（滕奎兴 配音）现在一心扑在新的妻子和出生不久的小弟弟身上，对她充满敷衍。远在他乡的母亲似乎开启了新的生活，拒绝对这个女儿施以哪怕一丁点的爱的恩惠。阴晦的日子里，参宿随同家人登上了六天七夜的海上游轮。狂风暴雨，怒浪滔天，女孩悲伤的心情被不断放大。当那团有如乱麻一般的龙卷风出现在海面时，母亲的歌声从远处传来，而参宿也消失在无尽的夜色之中。当她再度醒来时，发现自己身处海底的某个奇怪地方，光怪陆离的深海大饭店内，奇形怪状的食客们一边抱怨一边大快朵颐。而唯利是图的老板南河（苏鑫 配音）则自顾自做着他引以为豪的所谓创新菜。                                                                      　　参宿的到来，给南河带来了无穷的混乱与麻烦……
35766491,满江红,2023,张艺谋,陈宇 / 张艺谋,沈腾 / 易烊千玺 / 张译 / 雷佳音 / 岳云鹏 / 王佳怡 / 潘斌龙 / 余皑磊 / 郭京飞 / 欧豪 / 魏翔 / 张弛 / 黄炎 / 许静雅 / 蒋鹏宇 / 林博洋 / 飞凡 / 任思诺 / 陈永胜 / 张壹男,剧情 / 喜剧 / 悬疑 / 古装,中国大陆,汉语普通话 / 中国手语,2023-01-22(中国大陆),159分钟,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2887555071.webp,6.9,南宋绍兴年间，一代忠良岳鹏举物故，引无数良臣赤子扼腕叹息。四年后，奸相秦桧（雷佳音 饰）率兵与金国相约会谈。谁知会谈前夜，金国使者在秦桧驻地为人所害。事态紧急，亲兵营副统领孙均（易烊千玺 饰）得知小兵张大（沈腾 饰）了解线索，遂将其带到秦桧处。秦桧命二人一个时辰内找出真凶，否则一律处死。时间飞速流逝，舞姬瑶琴（王佳怡 饰）、更夫丁三旺（潘斌龙 饰）、马夫刘喜（余皑磊 饰）接连卷入其中，而宰相府总管何立（张译 饰）与副总管武义淳（岳云鹏 饰）相继入场，又将这场波谲云诡的调查涂满血腥。                                                                      　　谁是真正凶手？他们行刺所为何事？奸相内心深处又藏着什么不可告人的秘密？
36123159,熊出没·伴我“熊芯”,2023,林永长 / 邵和麒,崔铁志 / 刘圳杰 / 徐芸,张秉君 / 谭笑 / 张伟 / 缪莹莹 / 贾晨露 / 聂吉轩 / 王天昊 / 张茗 / 王思雨,喜剧 / 科幻 / 动画,中国大陆,汉语普通话,2023-01-22(中国大陆),96分钟,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2886535219.webp,7.2,一个普通的森林夜晚，对小熊大、小熊二宠爱有加的熊妈妈，在一场大火后离开了他们，两熊伤心不已……转眼多年过去，光头强带熊大熊二前往振兴岛参观机器人研究所，却意外得到了熊妈妈的线索，为此熊大、熊二一路探寻……熊妈当年为何不告而别？两熊最终是否能找到妈妈？迷雾重重的背后还有怎样的故事？一切谜团等待揭晓。
35494829,红毯先生,2023,宁浩,刘晓丹 / 王昂,刘德华 / 单立文 / 瑞玛·席丹 / 余伟国 / 宁浩 / 林熙蕾 / 梁家辉 / 杨千嬅 / 王晶 / 张子贤 / 刘漪琳 / 周炜 / 孙阳 / 薛宝鹤 / 马东,剧情 / 喜剧,中国大陆 / 中国香港,汉语普通话 / 粤语,2024-02-10(中国大陆点映) / 2024-03-15(中国大陆) / 2023-09-14(多伦多电影节) / 2023-10-14(平遥国际电影展),127分钟,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2905249058.webp,6.5,香港天王巨星刘伟驰（刘德华 饰）从影四十年，一直渴望得影帝。他决定与导演林浩（宁浩 饰）合作拍摄农村题材影片，从而在电影节赢得国际声誉。为此，刘伟驰深入农村体验生活、亲自拉投资、拒绝用替身，却因此引发了一系列令人哭笑不得的荒诞闹剧，也展现了娱乐圈的众生百态。
