评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
4088456838,飞驰人生2,2024,啥都爱看,4,很喜欢找到铅封那场戏，它不是丢在了哪个地方，而只是不被人在意了。就和大部分现实一样，不是过去了，只是被接受了。（比第一部好看！,2024-02-12 14:40:25,7658
4085525769,飞驰人生2,2024,HatcherZ,3,伤感文学+赛车+金句，韩寒还是在自己的舒适区里徘徊。张驰都在超越自己，韩寒什么时候能超越自己？这部电影好就好在没有狗尾续貂，倒是收了个好尾，无聊的点就在于好像又看了一遍第一部。,2024-02-10 11:09:43,8243
4085523707,飞驰人生2,2024,桦钢保卫科章昊,5,已经放出的短评里说难看的一位，注册4年，最近几天才开始打分，就给飞驰2打一星，然后给飞驰2的差评迅速收集到一堆赞，在豆瓣登上打分区前排。点开他主页，盛赞另一部春节档。咋说呢，别整这么难看吧,2024-02-10 11:05:57,9099
4085526889,飞驰人生2,2024,张兮兮,4,看爽了！在大银幕看赛车就是刺激，韩寒一定是最懂赛车的导演！光是这个就值回票价了。大过年果然还是得看沈腾，沈腾的演技越发炉火纯青，已经不只是单纯点搞笑了，而是多了些深度，演出了“老骥伏枥，志在千里”的感觉。前作本来就很好看，这部续集感觉已经超越前作了！再拍续集的话我还是会看！,2024-02-10 11:11:36,4697
4086656876,飞驰人生2,2024,Johnny,3,套路太常规了，经典找小鲜肉演一个一脸严肃高冷大神，不过赛车戏我确实喜欢，最蠢的是一直把巴音布鲁克挂在嘴边，说的多么神圣多么向往，结果全是明着黑幕，这种赛事你向往个集贸啊？,2024-02-11 01:14:18,7298
4085526443,飞驰人生2,2024,Kaito,4,不愧是拍过MV出过唱片的导演，配乐音乐设计与剧情画面有着相当不错的粘合度，比如与第一部相呼应的叶经理跟张驰在楼梯上站位上的对调，一个站在晚霞之中面带笑容回应，一个站在冰冷的钢架楼梯上冷笑，同一首歌接唱与不接的微妙，暗示了角色身份上的错位、对调。而沈腾这种迟暮形象，有一瞬间让人穿越到Mr.Children的《Mr.Adult》MV，同是实打实的暮年一梦。感觉像某些导演（比如毕赣之于中岛美雪），音乐的选择某种程度上也一直驱动着韩寒的叙事，就像上一部中的《云雀》，在这一方面，他一直是做的相当不错的。,2024-02-10 11:10:48,2656
4085684949,飞驰人生2,2024,马史,5,我知道，无数次的努力，机会只有两三次,2024-02-10 14:16:06,7216
4085527166,飞驰人生2,2024,居无间,4,超预期。相比于前作，飞驰2在很多层面上都是碾压式的升级。喜剧部分，笑点嵌在故事情境里，很自然。沈腾的表演有突破，非常细腻地呈现出了中年人的苦涩与心酸。在这一部，韩寒志在提升赛车场面的难度和观赏性。比赛过程拍得跌宕起伏、一波三折，贡献了不少视觉奇观，非常硬核。,2024-02-10 11:12:03,1226
4085497007,飞驰人生2,2024,三水🐱,3,文戏部分极其难看，尤其前半小时是刻意为了给贾冰加戏吧，完全可以几笔就带过。切到巴音布鲁克的赛车部分才开始进入佳境，这才是韩寒真正擅长的东西，电影拍不好下次别拍了。影片最后一分钟才是真正的高光。6分,2024-02-10 11:05:50,5045
4088958150,飞驰人生2,2024,团团,3,emmm。。。如果一辆资金匮乏以至于零部件都没配齐，被前方车辆压速十几秒，又遇到冰雹，发动机烧坏了的车还能开出五年前自己巅峰时候的成绩，那还真是把其他人当傻子了。。。。除此以外，我对这部电影没有太多意见。,2024-02-12 21:22:30,2655
4082031849,飞驰人生2,2024,Radioswan,5,能抗住的，一起啊。两个时空的对话最为泪目~赛车场面很震撼～可以说是开创了中国赛车电影的新类型～,2024-02-10 11:05:36,5318
4085533357,飞驰人生2,2024,whispers,3,最后半小时五星，爽翻天灵盖！有的电影就是为大屏而生的。这部电影只有最后半小时足够了,2024-02-10 11:22:24,998
4085526370,飞驰人生2,2024,Vanilla_韩凯旋,4,高燃！巴音布鲁克之王！,2024-02-10 11:10:41,590
4085521743,飞驰人生2,2024,DevilQ,5,比第一部好看，沈腾翻车跟范丞丞笑那段仿佛看到了星爷,2024-02-10 11:01:59,4659
4087694987,飞驰人生2,2024,方聒噪,5,大部分的人的梦想都在张弛驾校翻车的那一阵痛哭中就结束了，后面的都是幻想。,2024-02-13 00:56:54,1978
4087403779,飞驰人生2,2024,Nemooo,4,更少谐音烂梗，更少心灵鸡汤，更多速度与激情，至少就国内赛车竞技电影这个题材，韩寒是独家赛道。,2024-02-11 19:03:20,239
4085543404,飞驰人生2,2024,裴秀智,5,以前总觉得自己看不懂韩寒的电影，现在才发现长大才能看懂他的故事,2024-02-10 11:36:28,2362
4085526195,飞驰人生2,2024,壹安²,4,是韩寒最真诚的表达，他终于可以一把推倒两年前那根耻辱柱，骄傲地、真心地为巴音布鲁克之王鼓掌。,2024-02-10 11:10:24,395
4091644355,飞驰人生2,2024,李松石Linden,4,确实 全男电影很适合韩寒 没有女性的时候 男性也就自动补位了 尹正就是沈腾的老婆 一直鸡他 指望夫贵妻荣 而且韩寒本身不是个好父亲 自己已经意识到了 就不整父子情了 直接把沈腾儿子整走 剧情就丝滑多了😂,2024-02-14 22:24:29,133
4085689796,飞驰人生2,2024,同志亦凡人中文站,3,韩寒电影的主角永远都是赛车，其他全是围绕赛车服务的工具人。好歹作为贺岁片没再死人了，不然大过年的纯添堵。片尾曲让我分外想念张雨生，也许这就是时代的眼泪吧...,2024-02-10 14:21:17,501
4085522951,飞驰人生2,2024,不留痕迹,2,这哪是飞驰人生2，说是四海前传差不多，韩寒作为电影商人的算计和文化商人的做作还是一点不遮掩,2024-02-10 11:04:27,1983
