主题编号,主题名称,文档数,占比,平均权重
1,导演风格与视听体验问题,1037,21.9,0.2177
2,剧情逻辑与叙事结构问题,1688,35.7,0.3206
3,导演个人风格与角色塑造问题,544,11.5,0.1358
4,观影期待落差与情绪失望,641,13.5,0.1478
5,喜剧类型与商业化过度问题,821,17.4,0.1739
