指标,高口碑电影,低口碑电影
平均豆瓣评分,7.79,5.65
平均用户评分(评论),3.45,2.56
平均情感得分,0.838,0.766
正面评论比例,79.7%,70.6%
负面评论比例,12.3%,18.9%
平均评论长度,93,83
平均点赞数,720,400
评论总数,3776,3509
